# GENERATED by ./gradlew generateBedrockConstants. Do not edit.
#
# Bedrock's internal short name for a vanilla item, and Java's translation key for it.
# The whole key, because a block's item form is `block.minecraft.` in Java and
# everything else `item.minecraft.`, and that is not derivable from the path.
# Joined on the English display name and kept only where that name is unique in BOTH
# games; a hand-written answer in spec/upstream/vanilla-names.manual.yaml overrides.
#
# No upstream content is reproduced here - an id beside an id is a fact about two
# games, not Mojang's data. Constitution rule 10, spec/upstream/fetch.md.
cobblestone_wall.sandstone	block.minecraft.sandstone_wall
cobblestone_wall.stone_brick	block.minecraft.stone_brick_wall
cocoa	block.minecraft.cocoa
command_block	block.minecraft.command_block
command_block_minecart	item.minecraft.command_block_minecart
comparator	block.minecraft.comparator
compass	item.minecraft.compass
composter	block.minecraft.composter
concrete.black	block.minecraft.black_concrete
concrete.blue	block.minecraft.blue_concrete
concrete.brown	block.minecraft.brown_concrete
concrete.cyan	block.minecraft.cyan_concrete
concrete.gray	block.minecraft.gray_concrete
concrete.green	block.minecraft.green_concrete
concrete.lightBlue	block.minecraft.light_blue_concrete
concrete.lime	block.minecraft.lime_concrete
concrete.magenta	block.minecraft.magenta_concrete
concrete.orange	block.minecraft.orange_concrete
concrete.pink	block.minecraft.pink_concrete
concrete.purple	block.minecraft.purple_concrete
concrete.red	block.minecraft.red_concrete
concrete.silver	block.minecraft.light_gray_concrete
concrete.white	block.minecraft.white_concrete
concrete.yellow	block.minecraft.yellow_concrete
concretePowder.black	block.minecraft.black_concrete_powder
concretePowder.blue	block.minecraft.blue_concrete_powder
concretePowder.brown	block.minecraft.brown_concrete_powder
concretePowder.cyan	block.minecraft.cyan_concrete_powder
concretePowder.gray	block.minecraft.gray_concrete_powder
concretePowder.green	block.minecraft.green_concrete_powder
concretePowder.lightBlue	block.minecraft.light_blue_concrete_powder
concretePowder.lime	block.minecraft.lime_concrete_powder
concretePowder.magenta	block.minecraft.magenta_concrete_powder
concretePowder.orange	block.minecraft.orange_concrete_powder
concretePowder.pink	block.minecraft.pink_concrete_powder
concretePowder.purple	block.minecraft.purple_concrete_powder
concretePowder.red	block.minecraft.red_concrete_powder
concretePowder.silver	block.minecraft.light_gray_concrete_powder
concretePowder.white	block.minecraft.white_concrete_powder
concretePowder.yellow	block.minecraft.yellow_concrete_powder
conduit	block.minecraft.conduit
cooked_chicken	item.minecraft.cooked_chicken
cooked_fish	item.minecraft.cooked_cod
cooked_rabbit	item.minecraft.cooked_rabbit
cooked_salmon	item.minecraft.cooked_salmon
cookie	item.minecraft.cookie
copper_axe	item.minecraft.copper_axe
copper_bars	block.minecraft.copper_bars
copper_block	block.minecraft.copper_block
copper_boots	item.minecraft.copper_boots
copper_bulb	block.minecraft.copper_bulb
copper_chain	block.minecraft.copper_chain
copper_chest	block.minecraft.copper_chest
copper_chestplate	item.minecraft.copper_chestplate
copper_door	block.minecraft.copper_door
copper_golem_statue	block.minecraft.copper_golem_statue
copper_grate	block.minecraft.copper_grate
copper_helmet	item.minecraft.copper_helmet
copper_hoe	item.minecraft.copper_hoe
copper_horse_armor	item.minecraft.copper_horse_armor
copper_ingot	item.minecraft.copper_ingot
copper_lantern	block.minecraft.copper_lantern
copper_leggings	item.minecraft.copper_leggings
copper_nautilus_armor	item.minecraft.copper_nautilus_armor
copper_nugget	item.minecraft.copper_nugget
copper_ore	block.minecraft.copper_ore
copper_pickaxe	item.minecraft.copper_pickaxe
copper_shovel	item.minecraft.copper_shovel
copper_spear	item.minecraft.copper_spear
copper_sword	item.minecraft.copper_sword
copper_torch	block.minecraft.copper_torch
copper_trapdoor	block.minecraft.copper_trapdoor
coral.blue	block.minecraft.tube_coral
coral.blue_dead	block.minecraft.dead_tube_coral
coral.pink	block.minecraft.brain_coral
coral.pink_dead	block.minecraft.dead_brain_coral
coral.purple	block.minecraft.bubble_coral
coral.purple_dead	block.minecraft.dead_bubble_coral
coral.red	block.minecraft.fire_coral
coral.red_dead	block.minecraft.dead_fire_coral
coral.yellow	block.minecraft.horn_coral
coral.yellow_dead	block.minecraft.dead_horn_coral
coral_block.blue	block.minecraft.tube_coral_block
coral_block.blue_dead	block.minecraft.dead_tube_coral_block
coral_block.pink	block.minecraft.brain_coral_block
coral_block.pink_dead	block.minecraft.dead_brain_coral_block
coral_block.purple	block.minecraft.bubble_coral_block
coral_block.purple_dead	block.minecraft.dead_bubble_coral_block
coral_block.red	block.minecraft.fire_coral_block
coral_block.red_dead	block.minecraft.dead_fire_coral_block
coral_block.yellow	block.minecraft.horn_coral_block
coral_block.yellow_dead	block.minecraft.dead_horn_coral_block
coral_fan.blue_fan	block.minecraft.tube_coral_fan
coral_fan.pink_fan	block.minecraft.brain_coral_fan
coral_fan.purple_fan	block.minecraft.bubble_coral_fan
coral_fan.red_fan	block.minecraft.fire_coral_fan
coral_fan.yellow_fan	block.minecraft.horn_coral_fan
coral_fan_dead.blue_fan	block.minecraft.dead_tube_coral_fan
coral_fan_dead.pink_fan	block.minecraft.dead_brain_coral_fan
coral_fan_dead.purple_fan	block.minecraft.dead_bubble_coral_fan
coral_fan_dead.red_fan	block.minecraft.dead_fire_coral_fan
coral_fan_dead.yellow_fan	block.minecraft.dead_horn_coral_fan
cracked_deepslate_bricks	block.minecraft.cracked_deepslate_bricks
cracked_deepslate_tiles	block.minecraft.cracked_deepslate_tiles
cracked_nether_bricks	block.minecraft.cracked_nether_bricks
cracked_polished_blackstone_bricks	block.minecraft.cracked_polished_blackstone_bricks
crafter	block.minecraft.crafter
crafting_table	block.minecraft.crafting_table
creaking_heart	block.minecraft.creaking_heart
crimson_button	block.minecraft.crimson_button
crimson_door	block.minecraft.crimson_door
crimson_fence	block.minecraft.crimson_fence
crimson_fence_gate	block.minecraft.crimson_fence_gate
crimson_fungus	block.minecraft.crimson_fungus
crimson_hanging_sign	block.minecraft.crimson_hanging_sign
crimson_hyphae	block.minecraft.crimson_hyphae
crimson_nylium	block.minecraft.crimson_nylium
crimson_planks	block.minecraft.crimson_planks
crimson_pressure_plate	block.minecraft.crimson_pressure_plate
crimson_roots.crimsonRoots	block.minecraft.crimson_roots
crimson_shelf	block.minecraft.crimson_shelf
crimson_stairs	block.minecraft.crimson_stairs
crimson_stem	block.minecraft.crimson_stem
crimson_trapdoor	block.minecraft.crimson_trapdoor
crossbow	item.minecraft.crossbow
crying_obsidian	block.minecraft.crying_obsidian
cut_copper	block.minecraft.cut_copper
cut_copper_slab	block.minecraft.cut_copper_slab
cut_copper_stairs	block.minecraft.cut_copper_stairs
cyan_candle	block.minecraft.cyan_candle
cyan_candle_cake	block.minecraft.cyan_candle_cake
cyan_harness	item.minecraft.cyan_harness
danger_pottery_sherd	item.minecraft.danger_pottery_sherd
darkOakFence	block.minecraft.dark_oak_fence
dark_oak_button	block.minecraft.dark_oak_button
dark_oak_door	block.minecraft.dark_oak_door
dark_oak_fence_gate	block.minecraft.dark_oak_fence_gate
dark_oak_hanging_sign	block.minecraft.dark_oak_hanging_sign
dark_oak_pressure_plate	block.minecraft.dark_oak_pressure_plate
dark_oak_shelf	block.minecraft.dark_oak_shelf
dark_oak_stairs	block.minecraft.dark_oak_stairs
dark_oak_trapdoor	block.minecraft.dark_oak_trapdoor
dark_prismarine_stairs	block.minecraft.dark_prismarine_stairs
darkoak_wall_sign	block.minecraft.dark_oak_wall_sign
daylight_detector	block.minecraft.daylight_detector
dead_brain_coral_wall_fan	block.minecraft.dead_brain_coral_wall_fan
dead_bubble_coral_wall_fan	block.minecraft.dead_bubble_coral_wall_fan
dead_fire_coral_wall_fan	block.minecraft.dead_fire_coral_wall_fan
dead_horn_coral_wall_fan	block.minecraft.dead_horn_coral_wall_fan
dead_tube_coral_wall_fan	block.minecraft.dead_tube_coral_wall_fan
deadbush	block.minecraft.dead_bush
decorated_pot	block.minecraft.decorated_pot
deepslate	block.minecraft.deepslate
deepslate_brick_slab	block.minecraft.deepslate_brick_slab
deepslate_brick_stairs	block.minecraft.deepslate_brick_stairs
deepslate_brick_wall	block.minecraft.deepslate_brick_wall
deepslate_bricks	block.minecraft.deepslate_bricks
deepslate_coal_ore	block.minecraft.deepslate_coal_ore
deepslate_copper_ore	block.minecraft.deepslate_copper_ore
deepslate_diamond_ore	block.minecraft.deepslate_diamond_ore
deepslate_emerald_ore	block.minecraft.deepslate_emerald_ore
